,$,private,public,id,float,integer,rpar,lpar,dot,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
SEMANTICVARIABLE,,,,,,,SEMANTICVARIABLE → &epsilon,,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,,,,,,,,,,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,SEMANTICVARIABLE → &epsilon,,,,,,,SEMANTICVARIABLE → &epsilon,,,,,,,,SEMANTICVARIABLE → &epsilon
SEMANTICFUNCTIONCALL,,,,,,,SEMANTICFUNCTIONCALL → &epsilon,,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,,,,,,,,,,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,SEMANTICFUNCTIONCALL → &epsilon,,,,,,,SEMANTICFUNCTIONCALL → &epsilon,,,,,,,,SEMANTICFUNCTIONCALL → &epsilon
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → localvar id SEMANTICID colon TYPE SEMANTICTYPE LOCALVARDECL2,,,,,,,,,
LOCALVARDECL2,,,,,,,,LOCALVARDECL2 → lpar APARAMS rpar semi,,LOCALVARDECL2 → SEMANTICEPSILON REPTLOCALVARDECL4 SEMANTICARRAYSIZE SEMANTICVARDECL semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL2 → SEMANTICEPSILON REPTLOCALVARDECL4 SEMANTICARRAYSIZE SEMANTICVARDECL semi,,,,,,,
SEMANTICID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEMANTICID → &epsilon,,,,,,,,,,,,,,
SEMANTICTYPE,,,,,,,,SEMANTICTYPE → &epsilon,,SEMANTICTYPE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEMANTICTYPE → &epsilon,,,,,,,
SEMANTICEPSILON,,,,SEMANTICEPSILON → &epsilon,,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,,,,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon,,SEMANTICEPSILON → &epsilon,SEMANTICEPSILON → &epsilon
SEMANTICARRAYSIZE,,,,,,,,,,SEMANTICARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICVARDECL,,,,,,,,,,SEMANTICVARDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALVARDECLORSTMT,,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,LOCALVARDECLORSTMT → STATEMENT,,,LOCALVARDECLORSTMT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECLORSTMT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → MEMBERVARDECL,MEMBERDECL → MEMBERFUNCDECL,,MEMBERDECL → MEMBERFUNCDECL,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → constructor colon lpar FPARAMS rpar semi,,MEMBERFUNCDECL → function id colon lpar FPARAMS rpar arrow RETURNTYPE semi,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id colon TYPE REPTMEMBERVARDECL4 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,,,,,,,
OPTCLASSDECL2,,,,,,,,,,,,,,,,,,,OPTCLASSDECL2 → &epsilon,,,,,,,,,,,OPTCLASSDECL2 → isa id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,
RELEXPR,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,,,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,RELEXPR → ARITHEXPR RELOP SEMANTICTOKEN ARITHEXPR SEMANTICRELEXPR,,,
SEMANTICRELEXPR,,,,,,,SEMANTICRELEXPR → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq,RELOP → leq,RELOP → gt,RELOP → lt,RELOP → neq,RELOP → eq,,,,,,,,,,,,,,,,,,,
REPTSTART0,REPTSTART0 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,,,,,,,REPTSTART0 → CLASSDECLORFUNCDEF REPTSTART0,,
REPTAPARAMS1,,,,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,,,,,,REPTCLASSDECL4 → &epsilon,,,,,,,,,,,,,,,,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,REPTCLASSDECL4 → VISIBILITY MEMBERDECL REPTCLASSDECL4,,,,,,,,,,
REPTFPARAMS3,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTFUNCBODY1,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,REPTFUNCBODY1 → &epsilon,,,,,,,,,,,,,,,,,,,,,REPTFUNCBODY1 → LOCALVARDECLORSTMT REPTFUNCBODY1,,,,,,,,,
REPTLOCALVARDECL4,,,,,,,,,,REPTLOCALVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARDECL4 → ARRAYSIZE REPTLOCALVARDECL4,,,,,,,
REPTMEMBERVARDECL4,,,,,,,,,,REPTMEMBERVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTMEMBERVARDECL4 → ARRAYSIZE REPTMEMBERVARDECL4,,,,,,,
REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,REPTOPTCLASSDECL22 → &epsilon,,,,REPTOPTCLASSDECL22 → comma id REPTOPTCLASSDECL22,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTATBLOCK1,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURNTYPE,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,,,RETURNTYPE → void,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP SEMANTICTOKEN TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,RIGHTRECTERM → &epsilon,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,RIGHTRECTERM → MULTOP SEMANTICTOKEN FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,SIGN → minus,SIGN → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,STATBLOCK → STATEMENT,,,,,,STATBLOCK → &epsilon,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → STATEMENT,STATBLOCK → &epsilon,,STATBLOCK → STATEMENT,,STATBLOCK → lcurbr SEMANTICEPSILON REPTSTATBLOCK1 rcurbr SEMANTICSTATBLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICSTATBLOCK,,,,,,,,,,SEMANTICSTATBLOCK → &epsilon,,,,,SEMANTICSTATBLOCK → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,STATEMENT → FUNCTIONCALLORASIGNSTAT semi,,,,,,,STATEMENT → return lpar EXPR rpar SEMANTICRETURNSTAT semi,STATEMENT → write lpar EXPR rpar SEMANTICWRITESTAT semi,STATEMENT → read lpar VARIABLE rpar SEMANTICREADSTAT semi,STATEMENT → SEMANTICEPSILON while lpar RELEXPR rpar STATBLOCK SEMANTICWHILESTAT semi,,,STATEMENT → SEMANTICEPSILON if lpar RELEXPR rpar then STATBLOCK else STATBLOCK SEMANTICIFSTAT semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICRETURNSTAT,,,,,,,,,,SEMANTICRETURNSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICWRITESTAT,,,,,,,,,,SEMANTICWRITESTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICREADSTAT,,,,,,,,,,SEMANTICREADSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICIFSTAT,,,,,,,,,,SEMANTICIFSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICWHILESTAT,,,,,,,,,,SEMANTICWHILESTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTIONCALLORASIGNSTAT,,,,FUNCTIONCALLORASIGNSTAT → SEMANTICEPSILON id SEMANTICTOKEN ISFUNCTIONCALLORVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISFUNCTIONCALLORVARIABLE,,,,,,,,ISFUNCTIONCALLORVARIABLE → lpar APARAMS rpar AFTERFUNCTIONCALL,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,ISFUNCTIONCALLORVARIABLE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,
AFTERFUNCTIONCALL,,,,,,,,,AFTERFUNCTIONCALL → dot id SEMANTICTOKEN MIDDLESTATE,AFTERFUNCTIONCALL → SEMANTICFUNCTIONCALLSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTERVARIABLE,,,,,,,,,AFTERVARIABLE → dot id SEMANTICTOKEN MIDDLESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFTERVARIABLE → ENDASSIGN,
MIDDLESTATE,,,,,,,,MIDDLESTATE → lpar APARAMS rpar AFTERFUNCTIONCALL,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,,,,,,MIDDLESTATE → SEMANTICEPSILON INDICELOOP SEMANTICINDICELIST AFTERVARIABLE,
INDICELOOP,,,,,,,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,INDICELOOP → &epsilon,INDICELOOP → &epsilon,INDICELOOP → &epsilon,,,,,,,INDICELOOP → &epsilon,INDICELOOP → INDICE INDICELOOP,,,,,,INDICELOOP → &epsilon,INDICELOOP → &epsilon
ENDASSIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDASSIGN → ASSIGNOP SEMANTICTOKEN EXPR SEMANTICASSIGNSTAT,
SEMANTICINDICELIST,,,,,,,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,,,,,,,,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon,,,,,,,SEMANTICINDICELIST → &epsilon,,,,,,,SEMANTICINDICELIST → &epsilon,SEMANTICINDICELIST → &epsilon
SEMANTICASSIGNSTAT,,,,,,,,,,SEMANTICASSIGNSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANTICFUNCTIONCALLSTAT,,,,,,,,,,SEMANTICFUNCTIONCALLSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,,,,,,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,,,,,,,,,,,,,,,,,,,,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,TERM → SEMANTICEPSILON FACTOR RIGHTRECTERM SEMANTICTERM,,,
SEMANTICTERM,,,,,,,SEMANTICTERM → &epsilon,,,SEMANTICTERM → &epsilon,,,,,,,,,,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,SEMANTICTERM → &epsilon,,,,,,,,,,,SEMANTICTERM → &epsilon,,,,,,,,SEMANTICTERM → &epsilon
TYPE,,,,TYPE → id,TYPE → float,TYPE → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISIBILITY → &epsilon,VISIBILITY → &epsilon,,VISIBILITY → &epsilon,,,,,,,,,,
